36       ( 0.666 ,  2.12 )       ( 0.582 ,  2.91 )       ( 0.493 ,  3.93 )       ( 0.38 ,  5.01 )       ( 0.275 ,  6.18 )         1.97                                      
39       ( 0.676 ,  2.16 )       ( 0.59 ,  2.96 )       ( 0.497 ,  3.98 )       ( 0.382 ,  5.07 )       ( 0.277 ,  6.24 )         1.97                                      
42       ( 0.688 ,  2.21 )       ( 0.596 ,  3.01 )       ( 0.501 ,  4.03 )       ( 0.384 ,  5.12 )       ( 0.278 ,  6.29 )         1.97                                     
45       ( 0.701 ,  2.26 )       ( 0.603 ,  3.07 )       ( 0.504 ,  4.08 )       ( 0.385 ,  5.17 )       ( 0.279 ,  6.35 )         1.97                                     
48       ( 0.712 ,   2.3 )       ( 0.607 ,   3.1 )       ( 0.507 ,  4.12 )       ( 0.387 ,  5.21 )       ( 0.279 ,  6.38 )         1.97                                     
51       ( 0.722 ,  2.34 )       ( 0.611 ,  3.14 )       ( 0.509 ,  4.16 )       ( 0.388 ,  5.25 )       ( 0.28 ,  6.42 )         1.97                                      
54       ( 0.73 ,  2.37 )       ( 0.615 ,  3.17 )       ( 0.511 ,  4.18 )       ( 0.388 ,  5.27 )       ( 0.28 ,  6.44 )         1.97                                       
57       ( 0.737 ,  2.39 )       ( 0.618 ,  3.19 )       ( 0.512 ,  4.21 )       ( 0.389 ,   5.3 )       ( 0.28 ,  6.47 )         1.97                                      
60       ( 0.744 ,  2.42 )       ( 0.622 ,  3.22 )       ( 0.513 ,  4.23 )       ( 0.39 ,  5.32 )       ( 0.281 ,  6.49 )         1.97                                      
63       ( 0.749 ,  2.44 )       ( 0.622 ,  3.23 )       ( 0.514 ,  4.25 )       ( 0.39 ,  5.34 )       ( 0.281 ,  6.51 )         1.97                                      
66       ( 0.755 ,  2.46 )       ( 0.624 ,  3.25 )       ( 0.515 ,  4.27 )       ( 0.39 ,  5.35 )       ( 0.281 ,  6.52 )         1.97                                      
69       ( 0.76 ,  2.48 )       ( 0.625 ,  3.27 )       ( 0.515 ,  4.29 )       ( 0.39 ,  5.37 )       ( 0.281 ,  6.54 )         1.97                                       
72       ( 0.763 ,   2.5 )       ( 0.626 ,  3.28 )       ( 0.515 ,   4.3 )       ( 0.39 ,  5.38 )       ( 0.281 ,  6.55 )         1.97                                      
75       ( 0.765 ,  2.51 )       ( 0.627 ,   3.3 )       ( 0.515 ,  4.31 )       ( 0.39 ,  5.39 )       ( 0.281 ,  6.56 )         1.97                                      
78       ( 0.77 ,  2.53 )       ( 0.628 ,   3.3 )       ( 0.516 ,  4.32 )       ( 0.39 ,   5.4 )       ( 0.281 ,  6.56 )         1.97                                       
81       ( 0.771 ,  2.53 )       ( 0.628 ,  3.31 )       ( 0.515 ,  4.32 )       ( 0.39 ,   5.4 )       ( 0.281 ,  6.57 )         1.97                                      
84       ( 0.774 ,  2.54 )       ( 0.629 ,  3.32 )       ( 0.516 ,  4.33 )       ( 0.39 ,  5.41 )       ( 0.281 ,  6.57 )         1.97                                      
87       ( 0.776 ,  2.55 )       ( 0.63 ,  3.33 )       ( 0.515 ,  4.33 )       ( 0.39 ,  5.41 )       ( 0.281 ,  6.58 )         1.97                                       
90       ( 0.778 ,  2.56 )       ( 0.63 ,  3.33 )       ( 0.516 ,  4.34 )       ( 0.39 ,  5.42 )       ( 0.28 ,  6.58 )         1.97                                        
93       ( 0.779 ,  2.56 )       ( 0.63 ,  3.33 )       ( 0.515 ,  4.34 )       ( 0.39 ,  5.42 )       ( 0.28 ,  6.58 )         1.97                                        
96       ( 0.78 ,  2.57 )       ( 0.629 ,  3.34 )       ( 0.516 ,  4.34 )       ( 0.389 ,  5.42 )       ( 0.28 ,  6.58 )         1.97                                       
99       ( 0.782 ,  2.57 )       ( 0.63 ,  3.34 )       ( 0.516 ,  4.35 )       ( 0.389 ,  5.42 )       ( 0.28 ,  6.59 )         1.97                                       
